Date,Lat,Lon
2019-02-07 19:04:40+00:00,51.019527,16.893133
2019-02-07 19:05:25+00:00,51.01944,16.893177
2019-02-07 19:06:31+00:00,51.019356,16.893236
2019-02-07 19:14:46+00:00,51.019276,16.893299
2019-02-07 19:15:06+00:00,51.019199,16.893402
2019-02-07 19:17:10+00:00,51.019295,16.893314
2019-02-07 19:17:11+00:00,51.019379,16.893372
2019-02-07 19:17:20+00:00,51.019234,16.893608
2019-02-07 19:17:41+00:00,51.019348,16.893644
2019-02-07 19:17:45+00:00,51.01939,16.893827
2019-02-07 19:18:04+00:00,51.019478,16.893772
2019-02-07 19:20:14+00:00,51.019474,16.893631
2019-02-07 19:26:30+00:00,51.019398,16.893564
2019-02-07 19:28:36+00:00,51.019306,16.893517
2019-02-07 19:34:39+00:00,51.019062,16.893393
2019-02-07 19:34:42+00:00,51.018723,16.893227
2019-02-07 19:34:45+00:00,51.018528,16.893227
2019-02-07 19:34:50+00:00,51.018452,16.893028
2019-02-07 19:34:54+00:00,51.018612,16.89307
2019-02-07 19:35:02+00:00,51.018505,16.892981
2019-02-07 19:35:38+00:00,51.018826,16.89323
2019-02-07 19:35:47+00:00,51.018948,16.893257
2019-02-07 19:35:49+00:00,51.019249,16.893267
2019-02-07 19:35:51+00:00,51.019352,16.893274
2019-02-07 19:35:54+00:00,51.019489,16.893284
2019-02-07 19:35:56+00:00,51.01965,16.893274
2019-02-07 19:35:58+00:00,51.019749,16.89328
2019-02-07 19:36:10+00:00,51.019676,16.893372
2019-02-07 19:36:51+00:00,51.019543,16.893438
2019-02-07 19:36:52+00:00,51.019295,16.893793
2019-02-07 19:36:53+00:00,51.019199,16.893812
2019-02-07 19:36:55+00:00,51.019016,16.893698
2019-02-07 19:36:59+00:00,51.019043,16.893559
2019-02-07 19:37:04+00:00,51.01889,16.89348
2019-02-07 19:37:07+00:00,51.01865,16.893234
2019-02-07 19:37:10+00:00,51.01865,16.893087
2019-02-07 19:37:14+00:00,51.018692,16.892958
2019-02-07 19:37:18+00:00,51.018803,16.892996
2019-02-07 19:37:21+00:00,51.018887,16.893057
2019-02-07 19:37:24+00:00,51.018925,16.893196
2019-02-07 19:37:28+00:00,51.019035,16.893227
2019-02-07 19:37:33+00:00,51.019169,16.893234
2019-02-07 19:37:38+00:00,51.019264,16.893263
2019-02-07 19:40:03+00:00,51.018951,16.893236
2019-02-07 19:40:05+00:00,51.018749,16.893112
2019-02-07 19:40:07+00:00,51.01865,16.892962
2019-02-07 19:40:12+00:00,51.018532,16.892986
2019-02-07 19:40:20+00:00,51.018623,16.892967
2019-02-07 19:40:24+00:00,51.018757,16.892986
2019-02-07 19:40:26+00:00,51.018848,16.892996
2019-02-07 19:40:28+00:00,51.01897,16.893019
2019-02-07 19:40:31+00:00,51.019123,16.893072
2019-02-07 19:40:40+00:00,51.019001,16.893164
2019-02-07 19:41:41+00:00,51.019096,16.893187
2019-02-07 19:41:43+00:00,51.019402,16.89316
2019-02-07 19:41:46+00:00,51.019508,16.89315
2019-02-07 19:41:49+00:00,51.019615,16.893162
2019-02-07 19:42:09+00:00,51.019497,16.893211
2019-02-07 19:42:10+00:00,51.019241,16.893173
2019-02-07 19:42:12+00:00,51.019039,16.893166
2019-02-07 19:42:18+00:00,51.019188,16.893206
2019-02-07 19:42:53+00:00,51.019382,16.893377
2019-02-07 19:42:56+00:00,51.019749,16.893488
2019-02-07 19:42:57+00:00,51.019955,16.893496
2019-02-07 19:43:01+00:00,51.020031,16.893589
2019-02-07 19:43:03+00:00,51.020172,16.893642
2019-02-07 19:43:10+00:00,51.019962,16.893591
2019-02-07 19:43:12+00:00,51.019867,16.893452
2019-02-07 19:43:18+00:00,51.019749,16.893311
2019-02-07 19:43:22+00:00,51.019642,16.893326
2019-02-07 19:43:23+00:00,51.019459,16.89341
2019-02-07 19:43:25+00:00,51.019588,16.893425
2019-02-07 19:43:29+00:00,51.01965,16.893314
2019-02-07 19:43:31+00:00,51.019836,16.893314
2019-02-07 19:43:32+00:00,51.019962,16.893284
2019-02-07 19:43:36+00:00,51.020061,16.893219
2019-02-07 19:43:39+00:00,51.019886,16.89329
2019-02-07 19:43:44+00:00,51.019604,16.893417
2019-02-07 19:43:48+00:00,51.019466,16.89349
2019-02-07 19:43:50+00:00,51.01931,16.893373
2019-02-07 19:43:51+00:00,51.019222,16.893324
2019-02-07 19:43:55+00:00,51.019363,16.893272
2019-02-07 19:43:57+00:00,51.019703,16.89328
2019-02-07 19:43:58+00:00,51.019829,16.893301
2019-02-07 19:44:01+00:00,51.019936,16.893356
2019-02-07 19:44:03+00:00,51.020065,16.893351
2019-02-07 19:44:06+00:00,51.019676,16.89328
2019-02-07 19:44:09+00:00,51.019558,16.89329
2019-02-07 19:44:27+00:00,51.019489,16.893398
2019-02-07 19:44:42+00:00,51.019367,16.893307
2019-02-07 19:44:50+00:00,51.01952,16.893368
2019-02-07 19:44:53+00:00,51.019657,16.893396
2019-02-07 19:44:55+00:00,51.019753,16.893412
2019-02-07 19:45:01+00:00,51.019901,16.893484
2019-02-07 19:45:06+00:00,51.01981,16.893541
2019-02-07 19:45:10+00:00,51.019653,16.893541
2019-02-07 19:45:13+00:00,51.019562,16.893511
2019-02-07 19:45:19+00:00,51.019455,16.893463
2019-02-07 19:45:23+00:00,51.019363,16.893436
2019-02-07 19:45:28+00:00,51.018967,16.893312
2019-02-07 19:45:34+00:00,51.019062,16.893265
2019-02-07 19:45:38+00:00,51.019199,16.893286
2019-02-07 19:46:39+00:00,51.018948,16.893261
2019-02-07 19:46:41+00:00,51.018768,16.893187
2019-02-07 19:46:43+00:00,51.018646,16.893139
2019-02-07 19:46:47+00:00,51.018551,16.893091
2019-02-07 19:47:41+00:00,51.018661,16.893093
2019-02-07 19:47:44+00:00,51.018784,16.893101
2019-02-07 19:47:46+00:00,51.018879,16.89311
2019-02-07 19:47:48+00:00,51.018997,16.893105
2019-02-07 19:47:50+00:00,51.019241,16.893173
2019-02-07 19:47:52+00:00,51.019127,16.893173
2019-02-07 19:47:54+00:00,51.019032,16.893162
2019-02-07 19:47:56+00:00,51.018929,16.893072
2019-02-07 19:48:00+00:00,51.018829,16.893099
2019-02-07 19:48:10+00:00,51.01873,16.893126
2019-02-07 19:48:16+00:00,51.018673,16.892992
2019-02-07 19:48:22+00:00,51.019058,16.893038
2019-02-07 19:48:24+00:00,51.019203,16.893099
2019-02-07 19:48:32+00:00,51.019077,16.89319
2019-02-07 19:48:37+00:00,51.018974,16.893227
2019-02-07 19:50:40+00:00,51.019222,16.893196
2019-02-07 19:50:43+00:00,51.019493,16.893379
2019-02-07 19:50:45+00:00,51.019611,16.893373
2019-02-07 19:50:55+00:00,51.019489,16.89341
2019-02-07 19:52:56+00:00,51.020027,16.888334
2019-02-07 19:52:58+00:00,51.020412,16.88879
2019-02-07 19:53:00+00:00,51.020702,16.889139
2019-02-07 19:53:02+00:00,51.020836,16.889277
2019-02-07 19:53:04+00:00,51.020939,16.889374
2019-02-07 19:53:06+00:00,51.021034,16.889387
2019-02-07 19:53:08+00:00,51.021164,16.889614
2019-02-07 19:53:11+00:00,51.021236,16.890163
2019-02-07 19:53:14+00:00,51.021397,16.890255
2019-02-07 19:53:18+00:00,51.021488,16.890341
2019-02-07 19:53:22+00:00,51.021385,16.890402
2019-02-07 19:53:54+00:00,51.02129,16.890415
2019-02-07 19:54:04+00:00,51.021191,16.890369
2019-02-07 19:54:12+00:00,51.021206,16.890207
2019-02-07 19:54:18+00:00,51.021252,16.890001
2019-02-07 19:54:26+00:00,51.021358,16.889921
2019-02-07 19:54:33+00:00,51.021481,16.890003
